total_wage,num_in_field,field
2313357.0,66,CARGO AND FREIGHT AGENTS
2660031.0,66,Plant Scientists
3542236.0,65,GENETIC COUNSELORS
3831207.0,65,"SPECIAL EDUCATION TEACHERS, PRESCHOOL,"
2506157.0,64,"Fine Artists, Including Painters, Sculptors, and I"
2388630.0,64,"SALES AND RELATED WORKERS, ALL OTHER"
2909668.0,62,DENTAL LABORATORY TECHNICIANS
3213691.0,61,"Forestry and Conservation Science Teachers, Postse"
3215642.0,61,GRAPHIC DESIGNER
6479767.0,61,SALES ENGINEER
3065779.0,60,DOCUMENT MANAGEMENT SPECIALISTS
2780096.0,59,Computer Programmer R&D
4251390.0,59,PROSTHODONTISTS
3902210.0,58,Marine Engineers
2094701.0,58,Music Directors
1767616.0,58,"RELIGIOUS WORKERS, ALL OTHER"
3820717.0,56,MANUFACTURING ENGINEERS
3919062.0,56,MECHANICAL ENGINEER
2479008.0,56,SOUND ENGINEERING TECHNICIANS
4068343.0,55,EMERGENCY MANAGEMENT DIRECTORS
4490225.0,55,"SOFTWARE DEVELOPERS,APPLICATIONS"
1913756.0,54,Audio-Visual and Multimedia Collections Specialist
3074873.0,54,"CIVIL ENGINEERS, NON R&D"
2030919.0,54,COMPUTER OPERATORS
1498034.0,54,GRADUATE TEACHING ASSISTANTS
2287782.0,54,"HEALTH TECHNOLOGISTS AND TECHNICIANS, ALL OTHER*"
3809144.0,54,TRANSPORTATION MANAGERS
2390922.0,53,HISTORIANS
2333311.0,52,"HEALTH SPECIALITIES TEACHERS, POSTSECONDARY"
2460572.0,51,ANTHROPOLOGISTS AND ARCHEOLOGISTS
2830940.0,50,Clinical Psychologists
1674692.0,50,"Education Administrators, Preschool and Child Care"
1644882.0,50,FIRST-LINE SUPERVISORS OF FOOD PREPARATION AND SER
3587312.0,50,INDUSTRIAL SAFETY AND HEALTH ENGINEERS
2281019.0,49,AIRCRAFT MECHANICS AND SERVICE TECHNICIANS
3155736.0,47,"AIRLINE PILOTS, COPILOTS, AND FLIGHT ENGINEERS"
2124470.0,46,"Farm, Ranch, and Other Agricultural Managers"
2750967.0,46,FIRST-LINE SUPERVISORS OF CONSTRUCTION TRADES AND
3166394.0,44,"CAPTAINS, MATES, AND PILOTS OF WATER VESSELS"
2432561.0,44,FORENSIC SCIENCE TECHNICIANS
1203060.0,44,"OFFICE CLERKS, GENERAL"
2601096.0,44,PRODUCT SAFETY ENGINEERS
1586771.0,43,"Camera Operators, Television, Video, and Motion Pi"
1848706.0,43,Geological Data Technicians
1448133.0,43,LOAN COUNSELORS
2461117.0,42,BIOSTATISTICIANS
1422500.0,42,"Environmental Science and Protection Technicians, "
1273210.0,41,COMMUNITY HEALTH WORKERS
1528334.0,41,JEWELERS AND PRECIOUS STONE AND METAL WORKERS
1853111.0,40,CONSTRUCTION AND BUILDING INSPECTORS
2159189.0,40,FORESTERS
2698058.0,39,AUTOMOTIVE ENGINEERS
1564699.0,39,"DRAFTERS, ALL OTHER"
1291924.0,39,"OFFICE AND ADMINISTRATIVE SUPPORT WORKERS, ALL"
1439333.0,38,"Adult Literacy, Remedial Education, and GED Teache"
2257781.0,38,LABOR RELATIONS SPECIALISTS
1361394.0,38,MEDICAL ASSISTANTS
1499663.0,37,Calibration and Instrumentation Technicians
1738160.0,37,ELECTRICAL ENGINEERING TECHNICIANS
1771845.0,37,Telecommunications Equipment Installers and Repair
1188277.0,36,BILLING AND POSTING CLERKS
2316916.0,36,COMMERCIAL PILOTS
1605946.0,36,Vocational Education Teachers Postsecondary
1692711.0,34,COMPUTER SUPPORT SPECIALIST
1222040.0,34,"HUMAN RESOURCES ASSISTANTS, EXCEPT PAYROLL AND"
2616613.0,33,DATABASE ARCHITECTS
1363503.0,33,"Healthcare Support Workers, All Other*"
1413879.0,33,"HUMAN RESOURCES, TRAINING, AND LABOR RELATIONS"
1445651.0,32,Electronics Engineering Technicians
1220880.0,32,PROCUREMENT CLERKS
1241856.0,31,AUDIO AND VIDEO EQUIPMENT TECHNICIANS
741635.0,31,CHILDCARE WORKERS
1584313.0,31,"COMPUTER PROGRAMMERS, R&D"
1597079.0,31,DETECTIVES AND CRIMINAL INVESTIGATORS
1792606.0,31,"FORESTRY AND CONSERVATION SCIENCE TEACHERS,"
1953875.0,30,CLINICAL DATA MANAGERS
968649.0,30,DENTAL ASSISTANTS
1951944.0,30,DIAGNOSTIC MEDICAL SONOGRAPHERS
1436076.0,30,ELECTRO-MECHANICAL TECHNICIANS
1201075.0,30,First-Line Supervisors/Managers of Office and Admi
1414105.0,30,First-Line Supervisors/Managers of Production and 
1669201.0,30,"HEALTH PROFESSIONALS AND TECHNICIANS, ALL OTHER"
2346330.0,30,SOFTWARE DEVELOPERS APPLICATIONS
1388896.0,29,Agricultural Crop Farm Managers
1367806.0,29,FIRST-LINE SUPERVISORS OF OFFICE AND
1028162.0,29,"Inspectors, Testers, Sorters, Samplers, and Weighe"
1999233.0,29,OPERATIONS RESEARCH ANALYST
2063983.0,29,RADIATION THERAPISTS
1878997.0,28,FINANCIAL QUANTITATIVE ANALYSTS
1876722.0,28,Marine Architects
1728286.0,28,PROGRAM DIRECTORS
1132748.0,27,CHOREOGRAPHERS
2048573.0,27,CLINICAL DATA MANAGER
1610254.0,27,"FIRST-LINE SUPERVISORS OF MECHANICS, INSTALLERS, A"
1944514.0,27,GENERAL AND OPERATIONS MANAGER
714595.0,27,"SALES AND RELATED WORKERS, ALL OTHER*"
700093.0,26,"COOKS, RESTAURANT"
994569.0,26,LEGAL SECRETARIES
1794846.0,26,Nuclear Medicine Technologists
1693430.0,26,"SOFTWARE DEVELOPERS, APPLICATIONS, NON R&AMP;D"
1236875.0,25,"Career/Technical Education Teachers, Secondary Sch"
1751182.0,25,"COMPUTER HARDWARE ENGINEERS, R&D"
3439619.0,25,HOSPITALISTS
1435911.0,25,LOGISTICS ANALYSTS
859479.0,25,PROOFREADERS AND COPY MARKERS
666057.0,25,RETAIL SALESPERSONS
1697898.0,25,Technical Directors/Managers
904841.0,24,AUDIO-VISUAL AND MULTIMEDIA COLLECTIONS
1117833.0,24,BROKERAGE CLERKS
1118791.0,24,First-Line Supervisors/Managers of Non-Retail Sale
886551.0,24,"PRODUCTION WORKERS, ALL OTHER"
1547294.0,24,REGULATORY AFFAIRS SPECIALISTS
925290.0,24,SURVEYING AND MAPPING TECHNICIANS
1501735.0,23,COMPUTER SYSTEM ANALYST
941015.0,23,"Entertainers and Performers, Sports and Related Wo"
792969.0,23,TRAVEL AGENTS
1398125.0,22,"ELECTRICAL ENGINEERS, NON-R&D"
805379.0,22,"FIRST-LINE SUPERVISORS OF FARMING, FISHING, AND"
668617.0,21,First-Line Supervisors/Managers of Food Preparatio
768344.0,21,First-Line Supervisors/Managers of Retail Sales Wo
1062444.0,21,"MECHANICAL ENGINEERS, R&AMP;D"
1054162.0,21,SECONDARY SCHOOL TEACHERS
1521629.0,21,Storage and Distribution Managers
607039.0,20,"AGRICULTURAL WORKERS, ALL OTHER"
1085866.0,20,CARDIOVASCULAR TECHNOLOGISTS AND TECHNICIANS
752619.0,20,"FINANCIAL CLERKS, ALL OTHER"
786176.0,20,"FINE ARTISTS, INCLUDING PAINTERS, SCULPTORS, AND"
989025.0,20,MEDICAL EQUIPMENT REPAIRERS
844953.0,20,"TRANSPORTATION WORKERS, ALL OTHER"
577680.0,20,TRAVEL GUIDES
582527.0,19,Agricultural Technicians
1383845.0,19,DATABASE ADMINISTRATOR
1455707.0,19,FINANCIAL ANALYST
925817.0,19,RESPIRATORY THERAPISTS
540913.0,18,ANIMAL TRAINERS
753750.0,18,BROADCAST TECHNICIANS
725515.0,18,First-Line Supervisors and Manager/Supervisors - A
1081629.0,18,LOGISTICS ENGINEERS
797014.0,18,RADIO AND TELEVISION ANNOUNCERS
792187.0,18,RADIOLOGIC TECHNOLOGISTS
1561367.0,18,"SOFTWARE DEVELOPERS, APPLICATION"
954693.0,17,CLINICAL RESEARCH COORDINATORS
595627.0,17,LIBRARY TECHNICIANS
1012296.0,17,Network Designers
894931.0,17,Radiologic Technologists and Technicians*
1202019.0,17,RISK MANAGEMENT SPECIALISTS
1752151.0,17,TREASURERS AND CONTROLLERS
915907.0,16,"ARBITRATORS, MEDIATORS, AND CONCILIATORS"
659436.0,16,AUTOMOTIVE SERVICE TECHNICIANS AND MECHANICS
1454732.0,16,"Computer and Information Systems Managers,Non R&D "
740475.0,16,"CONSTRUCTION AND RELATED WORKERS, ALL OTHER"
517628.0,16,DESKTOP PUBLISHERS
604446.0,16,"Education Administrators, Preschool and Childcare "
501182.0,16,First-Line Supervisors of Housekeeping and Janitor
727477.0,16,First-Line Supervisors of Transportation and Mater
697722.0,16,GENETICISTS
417831.0,16,"HOTEL, MOTEL, AND RESORT DESK CLERKS"
1162548.0,15,"COMPUTER NETWORK ARCHITECTS, NON R&D"
995672.0,15,Fire-Prevention and Protection Engineers
504401.0,15,"INFORMATION AND RECORD CLERKS, ALL OTHER"
1914192.0,15,MARKETING MANAGER
948502.0,15,"MECHANICAL ENGINEERS, NON-R&D"
558421.0,15,MUSICAL INSTRUMENT REPAIRERS AND TUNERS
646435.0,15,"Physical Scientists, R&D (ACWIA Only)"
960395.0,15,"Registered Nurses, Non R&D (ACWIA Only)"
389770.0,15,VETERINARY ASSISTANTS AND LABORATORY ANIMAL
448596.0,15,VETERINARY ASSISTANTS AND LABORATORY ANIMAL CARETA
966553.0,14,"COMPUTER NETWORK ARCHITECTS, R&D"
907848.0,14,"COMPUTER SYSTEMS ANALYSTS, NON R&AMP;D"
833477.0,14,COMPUTER SYSTEMS ENGINEERS / ARCHITECTS
837848.0,14,"DIRECTORS- STAGE, MOTION PICTURES, TELEVISION, AND"
651851.0,14,"Employment Interviewers, Private or Public Employm"
570313.0,14,ENVIRONMENTAL COMPLIANCE INSPECTORS
665963.0,14,"First-Line Supervisors of Landscaping, Lawn Servic"
435537.0,14,Food Science Technicians
837429.0,14,"Media and Communication Equipment Workers, All Oth"
651518.0,14,MILLWRIGHTS
1350072.0,14,QUALITY CONTROL SYSTEMS MANAGERS
990324.0,14,"SOFTWARE DEVELOPERS, APPLICATIONS, R&AMP;D"
598715.0,14,"Vocational Education Teachers, Secondary School"
819093.0,13,"COMPUTER HARDWARE ENGINEERS, NON R&D"
600685.0,13,Computer Numerically Controlled Machine Tool Progr
408929.0,13,DANCERS
667658.0,13,"Electrical and Electronics Repairers, Commercial a"
348715.0,13,"ENTERTAINERS AND PERFORMERS, SPORTS AND RELATED"
948792.0,13,INFORMATION TECHNOLOGY PROJECT MANAGER
591051.0,13,LICENSED PRACTICAL AND LICENSED VOCATIONAL NURSES
550452.0,13,OCCUPATIONAL HEALTH AND SAFETY TECHNICIANS
474246.0,13,PAYROLL AND TIMEKEEPING CLERKS
650146.0,13,TRAFFIC TECHNICIANS
461906.0,12,"CAMERA OPERATORS, TELEVISION, VIDEO, AND MOTION"
532778.0,12,"CAREER/TECHNICAL EDUCATION TEACHERS, MIDDLE SCHOOL"
574724.0,12,ELECTRICAL DRAFTERS
1603245.0,12,INTERNIST
408116.0,12,Marine Cargo Inspectors
629497.0,12,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALIST
415242.0,12,Merchandise Displayers and Window Trimmers
637944.0,12,NUCLEAR TECHNICIANS
1412376.0,12,NURSE ANESTHETISTS
636625.0,12,Nursery and Greenhouse Managers
704083.0,12,"Sales Representatives, Chemical and Pharmaceutical"
789838.0,12,SEARCH MARKETING STRATEGISTS
519820.0,12,"SEPARATING, FILTERING, CLARIFYING, PRECIPITATING,"
928979.0,12,SOFTWARE DEVELOPER APPLICATIONS
840798.0,12,SUPERVISORS OF CONSTRUCTION AND EXTRACTION WORKERS
627681.0,12,"TAX EXAMINERS AND COLLECTORS, AND REVENUE AGENTS"
588457.0,11,"CAREER/TECHNICAL EDUCATION TEACHERS, SECONDARY"
514076.0,11,"CIVIL ENGINEERS, R&AMP;D"
347693.0,11,"CREDIT AUTHORIZERS, CHECKERS, AND CLERKS"
546041.0,11,Exhibit Designers
646047.0,11,FABRIC AND APPAREL PATTERNMAKERS
303212.0,11,"HAIRDRESSERS, HAIRSTYLISTS, AND COSMETOLOGISTS"
523122.0,11,"Life Scientists, R&D (ACWIA only)"
487746.0,11,"MUSICIANS, INSTRUMENTAL"
435634.0,11,PRIVATE DETECTIVES AND INVESTIGATORS
816378.0,11,REAL ESTATE BROKERS
500137.0,11,REAL ESTATE SALES AGENTS
1022741.0,11,REGULATORY AFFAIRS MANAGERS
1263512.0,11,SECURITIES AND COMMODITIES TRADERS
992180.0,11,"SOFTWARE DEVELOPER, SYSTEMS SOFTWARE"
767814.0,11,"SOFTWARE DEVELOPERS, SYSTEM SOFTWARE"
444765.0,11,Soil Scientists
545360.0,11,TELECOMMUNICATIONS EQUIPMENT INSTALLERS AND
388085.0,11,"WELDERS, CUTTERS, SOLDERERS, AND BRAZERS"
512151.0,10,"CIVIL ENGINEERS, NON-R&D"
633672.0,10,"COMPUTER OCCUPATIONS, ALL OTHERS"
326456.0,10,FIRST-LINE SUPERVISORS OF FOOD PREPARATION AND
312812.0,10,FOREST AND CONSERVATION TECHNICIANS
1106726.0,10,INVESTMENT FUND MANAGERS
920421.0,10,MATERIALS ENGINEER
227238.0,10,PHARMACY AIDES
302827.0,10,PHYSICAL THERAPIST AIDES
310773.0,9,Audio-Visual Collections Specialists
562142.0,9,"COMPUTER SOFTWARE ENGINEERS, APPLICATIONS, R&D"
581839.0,9,Dental Hygienists
667076.0,9,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER,"
580944.0,9,Emergency Management Specialists
257174.0,9,FREIGHT AND CARGO INSPECTORS
192234.0,9,HOME HEALTH AIDES
516708.0,9,INSTRUCTIONAL DESIGNERS AND TECHNOLOGISTS
284690.0,9,INSURANCE CLAIMS AND POLICY PROCESSING CLERKS
318407.0,9,"INTERVIEWERS, EXCEPT ELIGIBILITY AND LOAN"
1622024.0,9,PHYSICIANS AND SURGEONS
347319.0,9,"Production Workers, All Other*"
416812.0,9,"Purchasing Agents and Buyers, Farm Products"
203951.0,9,RECEPTIONISTS AND INFORMATION CLERKS
282215.0,9,"SHIPPING, RECEIVING, AND TRAFFIC CLERKS"
776193.0,9,SOFTWARE DEVELOPER
780047.0,9,SUPPLY CHAIN MANAGERS
359133.0,8,Agricultural and Food Scientists
935540.0,8,COMPUTER AND INFORMATION SYSTEMS MANAGER
229676.0,8,CRAFT ARTISTS
562278.0,8,"ELECTRONICS ENGINEER, EXCEPT COMPUTER"
531957.0,8,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER, NON"
451213.0,8,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER, R&AMP;D"
285937.0,8,Farmers and Ranchers
523826.0,8,First-Line Supervisors and Manager/Supervisors- Co
349252.0,8,First-Line Supervisors of Personal Service Workers
525804.0,8,INDUSTRIAL ENGINEER
236226.0,8,MACHINISTS
205692.0,8,"MAINTENANCE AND REPAIR WORKERS, GENERAL"
1047374.0,8,NEUROLOGISTS
358655.0,8,"Radio, Cellular, and Tower Equipment Installers an"
405944.0,8,Radiologic Technologists and Technicians
370876.0,8,"Sales Representatives, Medical"
506188.0,8,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE, R&AMP;D"
208790.0,8,SUBSTITUTE TEACHERS (OES ONLY)
191934.0,8,"TAILORS, DRESSMAKERS, AND CUSTOM SEWERS"
228653.0,8,"Textile, Apparel, and Furnishings Workers, All Oth"
316825.0,8,WATCH REPAIRERS
227512.0,7,AIRFIELD OPERATIONS SPECIALISTS
342514.0,7,"Appraisers, Real Estate"
494499.0,7,BUSINESS INTELLIGENCE ANALYST
474905.0,7,"COMPUTER OCCUPATION, ALL OTHER"
474116.0,7,COMPUTER SYSTEMS ENGINEERS/ ARCHITECTS
309108.0,7,CONCIERGES
381678.0,7,"ELECTRICAL ENGINEERS, R&AMP;D"
234979.0,7,"FIRST-LINE SUPERVISORS OF LANDSCAPING, LAWN"
469644.0,7,First-Line Supervisors/Managers of Construction Tr
248933.0,7,"First-Line Supervisors/Managers of Farming, Fishin"
417601.0,7,GEOPHYSICAL DATA TECHNICIANS
982108.0,7,"HEALTH SPECIALTIES TEACHER, POSTSECONDARY"
283919.0,7,Housekeeping Supervisors
519855.0,7,HUMAN FACTORS ENGINEERS AND ERGONOMISTS
286036.0,7,"INSTALLATION, MAINTENANCE, AND REPAIR WORKERS, ALL"
376335.0,7,INTELLIGENCE ANALYST
86008.0,7,"Library Assistants, Clerical"
357447.0,7,"MECHANICAL ENGINEERS, NON R&AMP;D"
390620.0,7,"Sales Representatives, Electrical/Electronic"
478519.0,7,"SECONDARY SCHOOL TEACHERS,EXCEPT SPECIAL AND CAREE"
196765.0,7,TOUR GUIDES AND ESCORTS
210958.0,6,ACTORS
315574.0,6,"All other architects, surveyors,and cartographers"
239124.0,6,"ART, DRAMA AND MUSIC TEACHERS, POSTSECONDARY"
283567.0,6,Avionics Technicians
233397.0,6,BILL AND ACCOUNT COLLECTORS
260063.0,6,Civil Drafters
747468.0,6,COMPUTER & INFORMATION SYSTEMS MANAGERS
470660.0,6,"COMPUTER SOFTWARE ENGINEERS, APPLICATIONS NON R&D"
443394.0,6,COMPUTER SYTEMS ANALYSTS
249954.0,6,CONSTRUCTION LABORERS
378891.0,6,Counseling Psychologists
166859.0,6,"DISPATCHERS, EXCEPT POLICE, FIRE, AND AMBULANCE"
422301.0,6,ENERGY ENGINEERS
150322.0,6,"Farmworkers and Laborers, Crop, Nursery, and Green"
323065.0,6,"FARMWORKERS, FARM, RANCH, AND AQUACULTURAL ANIMALS"
205090.0,6,"First-Line Supervisors/Managers of Landscaping, La"
316619.0,6,"First-Line Supervisors/Managers of Mechanics, Inst"
294402.0,6,HEALTHCARE PRACTITIONERS AND TECHNICAL
360630.0,6,HUMAN RESOURCES SPECIALIST
260001.0,6,Industrial Machinery Mechanics
180274.0,6,LOAN INTERVIEWERS AND CLERKS
258920.0,6,MARKET RESEARCH ANALYST
347360.0,6,MECHATRONICS ENGINEERS
412755.0,6,"MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL"
185350.0,6,MEDICAL APPLIANCE TECHNICIANS
310607.0,6,"MEDICAL SCIENTIST, EXCEPT EPIDEMIOLOGISTS"
138217.0,6,NONFARM ANIMAL CARETAKERS
193599.0,6,Ophthalmic Laboratory Technicians
535143.0,6,PHOTONICS ENGINEERS
803384.0,6,"PHYSICIANS & SURGEONS, ALL OTHER"
222289.0,6,PRINTING PRESS OPERATORS
288142.0,6,Professional Photographers
254904.0,6,QUALITY CONTROL ANALYSTS
531315.0,6,SALES MANAGER
163614.0,6,SHOE AND LEATHER WORKERS AND REPAIRERS
486699.0,6,SOFTWARE DEVELOPERS; APPLICATIONS
360890.0,6,SOFTWARE QUALITY ASSURANCE ENGINEERS & TESTERS
279553.0,6,Surgical Technologists
427503.0,6,SYSTEMS ANALYST
278304.0,6,Telecommunications Facility Examiners
247249.0,6,TOOL AND DIE MAKERS
218358.0,5,"Administrative Law Judges, Adjudicators, and Heari"
251471.0,5,Archeologists
184018.0,5,Automotive Master Mechanics
141774.0,5,BAKERS
188698.0,5,City Planning Aides
296276.0,5,CIVIL ENGINEER
394513.0,5,COMPLIANCE MANAGERS
316826.0,5,COMPUTER PROGRAMERS
280904.0,5,"COMPUTER PROGRAMMERS, NON R&AMP;D"
247333.0,5,"Construction and Related Workers, All Other*"
261873.0,5,DATABASE ADMINISTRATION
397363.0,5,ELECTRICAL ENGINEER
243359.0,5,ELECTRICIANS
381098.0,5,FAMILY AND GENERAL PRACTIONERS
180732.0,5,First-Line Supervisors and Manager/Supervisors - H
189841.0,5,FIRST-LINE SUPERVISORS OF HOUSEKEEPING AND
277971.0,5,"FIRST-LINE SUPERVISORS OF MECHANICS, INSTALLERS,"
192396.0,5,"First-Line Supervisors, Customer Service"
331420.0,5,First-Line Supervisors/Managers of Transportation 
348711.0,5,Fish Hatchery Managers
142459.0,5,"FOOD PROCESSING WORKERS, ALL OTHER"
241926.0,5,Geological Sample Test Technicians
720159.0,5,HOSPITALIST
308048.0,5,INFORMATICS NURSE SPECIALISTS
216258.0,5,"INSPECTORS, TESTERS, SORTERS, SAMPLERS, AND"
334340.0,5,LOGISTICS MANAGERS
391645.0,5,MANAGMENT ANALYSTS
234561.0,5,MARKET RESEARCH ANALYST AND MARKETING SPECIALISTS
262683.0,5,MASSAGE THERAPISTS
202302.0,5,MEDICAL SCIENTISTS EXCEPT EPIDEMIOLOGISTS
196164.0,5,MOLECULAR AND CELLULAR BIOLOGIST
185255.0,5,"News Analysts, Reporters and Correspondents"
290148.0,5,OPERATING ENGINEERS AND OTHER CONSTRUCTION
106725.0,5,"PERSONAL CARE AND SERVICE WORKERS, ALL OTHER"
340704.0,5,REGULATORY AFFAIRS SPECIALIST
345186.0,5,"SALES REPRESENTATIVES OF SERVICES, EXCEPT"
221998.0,5,"Sales Representatives, Mechanical Equipment and Su"
281362.0,5,SPEECH AND LANGUAGE PATHOLOGISTS
234812.0,5,Stationary Engineers and Boiler Operators
300975.0,5,TRANSPORTATION ENGINEERS
290327.0,5,TRANSPORTATION PLANNERS
135596.0,4,"Billing, Cost, and Rate Clerks"
161846.0,4,BIOCHEMISTS & BIOPHYSICISTS
328910.0,4,BIOINFORMATICS SCIENTIST
124258.0,4,BIOLOGICAL TECHNICIAN
182013.0,4,"CAREER/TECHNICAL  EDUCATION TEACHERS, MIDDLE"
129376.0,4,CARPENTERS
245440.0,4,COMMERCIAL AND INDUSTRIAL ENGINEERS
434284.0,4,"Computer and Information Systems Managers, R&D (AC"
302786.0,4,"COMPUTER HARDWARE ENGINEERS, NON-R&D"
338290.0,4,COMPUTER NETWORKS ARCHITECTS
294444.0,4,COMPUTER SYSTEMS ANLAYSTS
251617.0,4,COMPUTER SYSTEMS ENGINEER
188157.0,4,"Computer, Automated Teller, and Office Machine Rep"
125195.0,4,Data Entry Keyers
400276.0,4,DATABASE ADMINSTRATORS
131914.0,4,DIETETIC TECHNICIANS
241473.0,4,Educational Psychologists
134721.0,4,"EDUCATIONAL, GUIDANCE, SCHOOL AND VOCATIONAL COUNS"
201635.0,4,"ELECTRICAL AND ELECTRONICS REPAIRERS, COMMERCIAL"
211058.0,4,"ELECTRICAL AND ELECTRONICS REPAIRERS, POWERHOUSE,"
296311.0,4,"ELECTRONIC ENGINEERS, EXCEPT COMPUTER"
91793.0,4,"FARMWORKERS AND LABORERS, CROP, NURSERY, AND"
165485.0,4,"First-Line Supervisors of Helpers, Laborers, and M"
190132.0,4,First-Line Supervisors of Protective Service Worke
137385.0,4,"First-Line Supervisors, Administrative Support"
135511.0,4,First-Line Supervisors/Managers of Housekeeping an
161075.0,4,First-Line Supervisors/Managers of Personal Servic
191297.0,4,"FRAUD EXAMINERS, INVESTIGATORS AND ANALYSTS"
222892.0,4,GAMING MANAGERS
286519.0,4,GEOGRAPHIC INFORMATION SYSTEMS TECHNICIANS
241175.0,4,GEOSPATIAL INFORMATION SCIENTISTS AND TECHNOLOGIST
162573.0,4,"HEATING, AIR CONDITIONING, AND REFRIGERATION"
195000.0,4,"MAKEUP ARTISTS, THEATRICAL AND PERFORMANCE"
270275.0,4,MANUFACTURING ENGINEER
212555.0,4,MARKET RESEARCH ANALYSTS & MARKETING SPECIALISTS
484306.0,4,"Natural Sciences Managers, R&D (ACWIA Only)"
281092.0,4,NETWORK COMPUTER SYSTEMS ADMINISTRATORS
202634.0,4,Numerical Tool and Process Control Programmers
456434.0,4,OBSTETRICIAN AND GYNECOLOGISTS
146369.0,4,"Opticians, Dispensing"
210829.0,4,ORTHOTISTS AND PROTHETISTS
124800.0,4,"PAINTERS, CONSTRUCTION AND MAINTENANCE"
349628.0,4,"PHYSICIANS AND SURGEONS, ALL OTHERS"
144269.0,4,Prepress Technicians and Workers
130333.0,4,Probation Officers and Correctional Treatment Spec
176207.0,4,PUBLIC RELATIONS SPECIALIST
403686.0,4,QUALITY CONTROL SYSTEMS MANAGER
241987.0,4,"Registered Nurses, R&D (ACWIA Only)"
133328.0,4,Reservation and Transportation Ticket Agents and T
116002.0,4,"Secretaries, Except Legal, Medical, and Executive"
349483.0,4,"SOFTWARE DEVELOPERS,APPLICAITONS"
253842.0,4,VALIDATION ENGINEER
215634.0,4,Water and Wastewater Treatment Plant and System Op
54558.0,3,AMUSEMENT AND RECREATION ATTENDANTS
113713.0,3,Anthropologists
200012.0,3,AUTOMOTIVE ENGINEER
189821.0,3,BIOCHEMICAL ENGINEERS
131456.0,3,BIOINFORMATICS TECHNICIANS
122991.0,3,BIOLOGISTS (19-1020.01)
121554.0,3,Chemical Plant and System Operators
167295.0,3,"Claims Examiners, Property and Casualty Insurance"
146744.0,3,COMMERCIAL AND INDUSTRIAL DESIGNER
98343.0,3,"Communications Equipment Operators, All Other"
230339.0,3,"COMPUTER DEVELOPERS, APPLICATIONS"
259675.0,3,COMPUTER SYSTEM ENGINEERS/ARCHITECTS
189258.0,3,COMPYTER SYSTEMS ANALYSTS
153789.0,3,CRIMINAL JUSTICE AND LAW ENFORCEMENT TEACHERS
87131.0,3,DEMONSTRATORS AND PRODUCT PROMOTERS
129439.0,3,ELECTRICAL ENGINEERING TECHNOLOGISTS
135825.0,3,Electronic Drafters
125440.0,3,"ELEMENTARY SCHOOL TEACHER, EXCEPT SPECIAL EDUCATIO"
86632.0,3,EMERGENCY MEDICAL TECHNICIANS AND PARAMEDICS
77002.0,3,File Clerks
188746.0,3,First-Line Supervisors of Construction Trades and 
202301.0,3,FIRST-LINE SUPERVISORS OF TRANSPORTATION AND
150446.0,3,First-Line Supervisors/Managers of Production and
81744.0,3,FLORAL DESIGNERS
122616.0,3,HEALTHCARE PRACTITIONERS AND TECHNICAL WORKER
136470.0,3,"Insurance Adjusters, Examiners, and Investigators"
418495.0,3,"INTERNIST, GENERAL"
241384.0,3,LAWYER
89900.0,3,Legislators
210787.0,3,LOGISTICS ENGINEER
130250.0,3,MANUFACTURING ENGINEERING TECHNOLOGISTS
111883.0,3,MEDICAL SECRETARIES
96970.0,3,Motorcycle Mechanics
206315.0,3,NETWORK & COMPUTER SYSTEMS ADMINISTRATORS
284668.0,3,NETWORK AND COMPUTER SYSTEMS ADMINSTRATORS
64064.0,3,"NURSING AIDES, ORDERLIES, AND ATTENDANTS"
169021.0,3,OPERATION RESEARCH ANALYSTS
85301.0,3,ORDER CLERKS
106080.0,3,Painters and Illustrators
110594.0,3,"PAINTERS, TRANSPORTATION EQUIPMENT"
91116.0,3,Photographic Process Workers and Processing Machin
182145.0,3,PHYSICAL THERAPIST
560643.0,3,"PHYSICIAN AND SURGEONS, ALL OTHER"
138008.0,3,PHYSICIST
106600.0,3,"PLUMBERS, PIPEFITTERS, AND STEAMFITTERS"
159058.0,3,"Precision Instrument and Equipment Repairers, All"
67081.0,3,Psychiatric Technicians
203569.0,3,RISK MANAGEMENT SPECIALIST
165048.0,3,Sculptors
154592.0,3,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND CAR"
125777.0,3,Set Designers
148220.0,3,Ship Engineers
285209.0,3,SOCIAL SCIENTISTS AND RELATED WORKERS
226804.0,3,SOFTWARE DEVELOPERS
218774.0,3,"SOFTWARE DEVELOPERS, APPLICATIONS."
290575.0,3,"SOFTWARE DEVELOPERS,SYSTEMS SOFTWARE"
189197.0,3,SOFTWARE QUALITY ASSURANCE ENGINEER AND TESTERS
157456.0,3,SOFTWARE QUALITY ASSURANCE ENGINEERS
171018.0,3,SOFTWARE QULAITY ASSURANCE ENGINEERS AND TESTERS
250827.0,3,"SOFWARE DEVELOPERS, APPLICATIONS"
127140.0,3,SPEC ED.TEACHERS PRESCHOOL/KINDERGA/ELEMENTARY
