total_wage,num_in_field,field
187554575.0,2424,COMPUTER SUPPORT SPECIALISTS
104097382.0,2404,"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL"
119508944.0,2390,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER*"
105544442.0,2351,INTERIOR DESIGNERS
210880864.0,2328,COMPUTER NETWORK ARCHITECTS
198482094.0,2310,PURCHASING MANAGERS
127393124.0,2279,COMPUTER PROGRAMMER
68288589.0,2253,COACHES AND SCOUTS
111322854.0,2245,EDITORS
138984011.0,2242,"COMPUTER SPECIALISTS, ALL OTHER"
80656385.0,2238,SOCIAL SCIENCE RESEARCH ASSISTANTS
104349150.0,2225,COMPUTER USER SUPPORT SPECIALISTS
168518820.0,2206,CONSTRUCTION MANAGERS
132727096.0,2198,"ECONOMICS TEACHERS, POSTSECONDARY"
185617612.0,2101,ART DIRECTORS
283050186.0,2096,PSYCHIATRISTS
131040820.0,1997,VETERINARIANS
90102784.0,1991,"HEALTHCARE PRACTITIONERS AND TECHNICAL WORKERS, AL"
88013863.0,1908,"Human Resources, Training, and Labor Relations Spe"
107323115.0,1875,TECHNICAL WRITERS
147099089.0,1824,AEROSPACE ENGINEERS
61398232.0,1804,"TEACHERS AND INSTRUCTORS, ALL OTHER"
107390970.0,1776,REGISTERED NURSES
123759368.0,1773,MATHEMATICIANS
95665310.0,1762,"BIOLOGICAL SCIENCE TEACHERS, POSTSECONDARY"
78841904.0,1652,"ART, DRAMA, AND MUSIC TEACHERS, POSTSECONDARY"
130163345.0,1623,"TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS"
169639299.0,1566,NATURAL SCIENCES MANAGERS
87716744.0,1559,COMPUTER SYSTEMS ENGINEERS
65136851.0,1552,"MIDDLE SCHOOL TEACHERS, EXCEPT SPECIAL AND CAREER/"
57278718.0,1551,REPORTERS AND CORRESPONDENTS
125631046.0,1499,INFORMATION TECHNOLOGY PROJECT MANAGERS
103347913.0,1478,"EDUCATION ADMINISTRATORS, POSTSECONDARY"
93835991.0,1467,PRODUCERS AND DIRECTORS
61430918.0,1376,"Secondary School Teachers, Except Special and Voca"
54664866.0,1370,INTERPRETERS AND TRANSLATORS
105289127.0,1359,"PRESCHOOL TEACHERS, EXCEPT SPECIAL EDUCATION"
62708261.0,1347,"MECHANICAL ENGINEERS, R&D"
67858467.0,1341,"ELECTRICAL ENGINEERS, R&D"
148382146.0,1326,ENGINEERING MANAGERS
72445275.0,1320,"PHYSICAL SCIENTISTS, ALL OTHER"
131410447.0,1319,HUMAN RESOURCES MANAGERS
65030821.0,1300,"CHEMISTRY TEACHERS, POSTSECONDARY"
123655780.0,1300,"SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SA"
73249656.0,1280,SOCIAL AND COMMUNITY SERVICE MANAGERS
59456630.0,1278,"EDUCATION TEACHERS, POSTSECONDARY"
59700742.0,1273,FOOD SERVICE MANAGERS
49040930.0,1237,"KINDERGARTEN TEACHERS, EXCEPT SPECIAL EDUCATION"
71595065.0,1228,COMPUTER NETWORK SUPPORT SPECIALISTS
97404124.0,1223,MARINE ENGINEERS AND NAVAL ARCHITECTS
59450436.0,1214,MODELS
54848553.0,1210,JUDICIAL LAW CLERKS
65298182.0,1198,"PHYSICS TEACHERS, POSTSECONDARY"
61096330.0,1195,"HEALTHCARE PRACTITIONERS AND TECHNICAL WORKERS,"
78418036.0,1187,"SOFTWARE DEVELOPERS, APPLICATIONS, NON R & D"
53979163.0,1170,"FOREIGN LANGUAGE AND LITERATURE TEACHERS,"
45812641.0,1152,"DESIGNERS, ALL OTHER"
56129300.0,1140,LODGING MANAGERS
71929788.0,1109,"COMPUTER SYSTEMS ANALYSTS, NON R&D"
45834750.0,1107,HEALTH EDUCATORS
64170889.0,1096,"POSTSECONDARY TEACHERS, ALL OTHER"
75081234.0,1078,PERSONAL FINANCIAL ADVISORS
56731873.0,1070,"ENVIRONMENTAL SCIENTISTS AND SPECIALISTS, INCLUDIN"
167115023.0,1069,SURGEONS
102014508.0,1058,PUBLIC RELATIONS AND FUNDRAISING MANAGERS
62245526.0,1052,COMPUTER PROGRAMMERS NON R & D
63800375.0,1042,ADMINISTRATIVE SERVICES MANAGERS
51579988.0,1029,"SPECIAL EDUCATION TEACHERS, PRESCHOOL, KINDERGARTE"
50361551.0,1027,"SPECIAL EDUCATION TEACHERS, SECONDARY SCHOOL"
59309326.0,1016,AUDITORS
47174955.0,989,PARALEGALS AND LEGAL ASSISTANTS
37246499.0,965,"MEDIA AND COMMUNICATION WORKERS, ALL OTHER"
63222550.0,960,NETWORK SYSTEMS AND DATA COMMUNICATIONS ANALYSTS
47602668.0,960,"PHILOSOPHY AND RELIGION TEACHERS, POSTSECONDARY"
77966480.0,943,TRAINING AND DEVELOPMENT MANAGERS
47748607.0,928,"POLITICAL SCIENCE TEACHERS, POSTSECONDARY"
54899811.0,901,ATMOSPHERIC AND SPACE SCIENTISTS
45464199.0,895,LANDSCAPE ARCHITECTS
39613575.0,892,"COMMUNICATIONS TEACHERS, POSTSECONDARY"
40101888.0,891,"MIDDLE SCHOOL TEACHERS, EXCEPT SPECIAL AND"
44553526.0,888,"PSYCHOLOGY TEACHERS, POSTSECONDARY"
51404511.0,877,"SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING"
47683220.0,856,WRITERS AND AUTHORS
80817128.0,841,"DENTISTS, ALL OTHER SPECIALISTS"
62610663.0,832,"HEALTH AND SAFETY ENGINEERS, EXCEPT MINING SAFETY"
34401288.0,809,"MEETING, CONVENTION, AND EVENT PLANNERS"
23376925.0,805,REHABILITATION COUNSELORS
45071966.0,805,URBAN AND REGIONAL PLANNERS
40475695.0,804,ELECTRICAL AND ELECTRONICS ENGINEERING TECHNICIANS
28626444.0,803,MENTAL HEALTH COUNSELORS
34293281.0,794,"FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANAGERS"
37457461.0,779,CURATORS
38614411.0,759,"HISTORY TEACHERS, POSTSECONDARY"
45129695.0,754,EPIDEMIOLOGISTS
56455889.0,747,"COMPUTER AND INFORMATION SCIENTISTS, RESEARCH"
35224637.0,745,BIOCHEMISTS
26834915.0,743,CHEMICAL TECHNICIANS
34923748.0,722,"SPECIAL EDUCATION TEACHERS, MIDDLE SCHOOL"
36883121.0,710,GEOLOGICAL AND PETROLEUM TECHNICIANS
29841607.0,695,"ENGLISH LANGUAGE AND LITERATURE TEACHERS, POSTSECO"
99217646.0,676,OBSTETRICIANS AND GYNECOLOGISTS
46933456.0,661,"EDUCATION ADMINISTRATORS, ELEMENTARY AND SECONDARY"
67788973.0,661,"SECURITIES, COMMODITIES, AND FINANCIAL SERVICES"
39145153.0,660,REGISTERED NURSES*
22608149.0,653,CLERGY
32585510.0,649,ANIMAL SCIENTISTS
49537575.0,639,"MINING AND GEOLOGICAL ENGINEERS, INCLUDING MINING"
28018198.0,634,CHEFS AND HEAD COOKS
